GENRE | 4th guess | SUCCESS
SCION | 4th guess | SUCCESS
SAPPY | 4th guess | SUCCESS
TRUST | 6th guess | SUCCESS
CREPT | 4th guess | SUCCESS
ALTAR | 4th guess | SUCCESS
ELBOW | 5th guess | SUCCESS
INFER | 6th guess | SUCCESS
VIGIL | 4th guess | SUCCESS
RAZOR | 4th guess | SUCCESS
TRADE | 5th guess | SUCCESS
CHIDE | 4th guess | SUCCESS
MOOSE | 4th guess | SUCCESS
BOOTH | 4th guess | SUCCESS
LOATH | 4th guess | SUCCESS
PATCH | 5th guess | SUCCESS
RUMOR | 4th guess | SUCCESS
BRINK | 4th guess | SUCCESS
HUSSY | 5th guess | SUCCESS
TUBAL | 4th guess | SUCCESS
WOOZY | 4th guess | SUCCESS
EDICT | 4th guess | SUCCESS
TWEAK | 5th guess | SUCCESS
HOUSE | 4th guess | SUCCESS
GOOEY | 5th guess | SUCCESS
ACUTE | 5th guess | SUCCESS
MONEY | 4th guess | SUCCESS
OAKEN | 4th guess | SUCCESS
FREAK | 6th guess | SUCCESS
TATER | 6th guess | FAIL
MOUTH | 4th guess | SUCCESS
STEAK | 5th guess | SUCCESS
WIELD | 6th guess | SUCCESS
FILER | 5th guess | SUCCESS
MEANS | 5th guess | SUCCESS
PEARL | 5th guess | SUCCESS
DEPOT | 4th guess | SUCCESS
JOLLY | 6th guess | FAIL
BETEL | 5th guess | SUCCESS
DRANK | 4th guess | SUCCESS
GAMER | 5th guess | SUCCESS
TOWER | 6th guess | FAIL
KETCH | 4th guess | SUCCESS
SAUCY | 4th guess | SUCCESS
AMITY | 4th guess | SUCCESS
DEPTH | 4th guess | SUCCESS
EVADE | 6th guess | SUCCESS
GRAPH | 5th guess | SUCCESS
STALL | 6th guess | SUCCESS
SAVOR | 4th guess | SUCCESS
CHIRP | 4th guess | SUCCESS
DINER | 4th guess | SUCCESS
EXPEL | 4th guess | SUCCESS
TWEED | 4th guess | SUCCESS
FLAKY | 4th guess | SUCCESS
MANIA | 4th guess | SUCCESS
BILGE | 4th guess | SUCCESS
GUISE | 5th guess | SUCCESS
GROUP | 4th guess | SUCCESS
PERKY | 4th guess | SUCCESS
TOXIN | 4th guess | SUCCESS
RIFLE | 5th guess | SUCCESS
ANNUL | 6th guess | SUCCESS
MYRRH | 4th guess | SUCCESS
PIGGY | 4th guess | SUCCESS
PLANT | 4th guess | SUCCESS
ERECT | 4th guess | SUCCESS
HYDRO | 4th guess | SUCCESS
SIREN | 4th guess | SUCCESS
TWIXT | 4th guess | SUCCESS
PLUMP | 4th guess | SUCCESS
GLORY | 4th guess | SUCCESS
ALIBI | 4th guess | SUCCESS
FAULT | 4th guess | SUCCESS
DALLY | 6th guess | SUCCESS
KOALA | 4th guess | SUCCESS
QUELL | 5th guess | SUCCESS
EGRET | 4th guess | SUCCESS
COUNT | 4th guess | SUCCESS
BELLE | 5th guess | SUCCESS
VALET | 4th guess | SUCCESS
DIZZY | 6th guess | SUCCESS
IRONY | 4th guess | SUCCESS
DAIRY | 4th guess | SUCCESS
AXION | 6th guess | FAIL
SPOOL | 4th guess | SUCCESS
RIGHT | 5th guess | INIT
MESSY | 4th guess | SUCCESS
SLICE | 5th guess | SUCCESS
GAYLY | 5th guess | SUCCESS
BUNCH | 6th guess | FAIL
GREED | 4th guess | SUCCESS
DAIRY | 5th guess | SUCCESS
POISE | 4th guess | SUCCESS
USURP | 4th guess | SUCCESS
ANKLE | 5th guess | SUCCESS
PURSE | 5th guess | SUCCESS
UNLIT | 5th guess | SUCCESS
WHIFF | 4th guess | SUCCESS
PARRY | 4th guess | SUCCESS
GAUDY | 5th guess | SUCCESS
ARMOR | 4th guess | SUCCESS
ENTRY | 4th guess | SUCCESS
BELLY | 4th guess | SUCCESS
GROPE | 4th guess | SUCCESS
HOBBY | 4th guess | SUCCESS
VOTER | 6th guess | SUCCESS
GRAFT | 6th guess | INIT
WOMEN | 4th guess | SUCCESS
MORON | 5th guess | SUCCESS
DEBAR | 4th guess | SUCCESS
SPIKY | 4th guess | SUCCESS
PLAZA | 4th guess | SUCCESS
KITTY | 4th guess | SUCCESS
SHALT | 4th guess | SUCCESS
BRAVO | 4th guess | SUCCESS
NUDGE | 4th guess | SUCCESS
BIBLE | 4th guess | SUCCESS
MINIM | 5th guess | SUCCESS
GAUDY | 5th guess | SUCCESS
ABUSE | 4th guess | SUCCESS
SMITE | 4th guess | SUCCESS
PLIED | 5th guess | SUCCESS
OMBRE | 4th guess | SUCCESS
CABBY | 6th guess | SUCCESS
DEMON | 6th guess | SUCCESS
WHOSE | 6th guess | INIT
DIZZY | 5th guess | SUCCESS
OLDIE | 5th guess | SUCCESS
WHISK | 5th guess | SUCCESS
REVUE | 4th guess | SUCCESS
GUMMY | 6th guess | SUCCESS
DIZZY | 5th guess | SUCCESS
TABOO | 5th guess | SUCCESS
WREAK | 5th guess | SUCCESS
INFER | 4th guess | SUCCESS
ABOVE | 4th guess | SUCCESS
EMAIL | 4th guess | SUCCESS
MARRY | 6th guess | SUCCESS
SLANT | 4th guess | SUCCESS
